Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm)
28430,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3042,642,8,7,1000
28946,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3882,550,8,5,1000
29442,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3076,543,8,7,1000
29952,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3298,619,8,7,1000
30459,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3420,585,8,7,1000
30975,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,512,8,7,1000
31480,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3193,631,8,7,1000
31984,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3357,573,8,7,1000
32500,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3025,476,8,7,1000
33006,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3247,522,8,7,1000
33517,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3313,685,8,7,1000
34023,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3201,627,8,7,1000
34532,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3386,523,8,7,1000
35039,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3174,465,8,7,1000
35548,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3086,474,8,7,1000
36055,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3384,597,8,7,1000
36563,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3149,525,8,7,1000
37074,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3063,462,8,7,1000
37582,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3054,514,8,7,1000
38090,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3313,620,8,7,1000
38601,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3215,560,8,7,1000
39109,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3562,620,8,7,1000
39620,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3010,560,8,7,1000
40128,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3334,586,8,7,1000
40638,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3073,495,8,7,1000
41150,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3608,844,8,7,1000
41660,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3452,583,8,7,1000
42175,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3042,608,8,7,1000
42682,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3093,594,8,7,1000
43181,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3332,607,8,7,1000
43693,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3325,563,8,7,1000
44200,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3171,595,8,7,1000
44709,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3142,479,8,6,1000
45224,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3427,702,8,7,1000
45721,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3313,553,8,7,1000
46234,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3435,633,8,7,1000
46742,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3069,525,8,7,1000
47250,XiaomiM2007J3SG,12,bc:df:58:b8:ef:6f,0,3493,707,8,7,1000
