Time (ms),Device,Android Version,AP MAC Address,Status,Distance (mm),Std Dev (mm),Attempted Measurements,Successful Measurements,Real Distance (mm),Orientation
5986,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2153,235,8,7,500,1
6112,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2385,624,8,7,500,1
6229,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2348,588,8,7,500,1
6344,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2524,700,8,7,500,1
6470,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2553,188,8,7,500,1
6596,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2251,549,8,7,500,1
6714,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2495,121,8,7,500,1
6833,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2739,620,8,7,500,1
6964,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2212,185,8,7,500,1
7081,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2863,733,8,7,500,1
7207,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,1870,97,8,7,500,1
7336,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2085,181,8,7,500,1
7466,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2641,107,8,7,500,1
7581,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2737,697,8,7,500,1
7705,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2827,684,8,7,500,1
7833,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2204,425,8,7,500,1
7957,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2680,619,8,7,500,1
8095,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2436,462,8,7,500,1
8232,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2746,636,8,7,500,1
8363,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2085,321,8,7,500,1
8496,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2378,541,8,7,500,1
8626,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2285,575,8,7,500,1
8755,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2597,805,8,7,500,1
8869,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2363,454,8,7,500,1
8997,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2553,1098,8,7,500,1
9136,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2661,122,8,7,500,1
9259,XiaomiPOCO F2 Pro,12,90:ca:fa:8b:13:b4,0,2629,721,8,7,500,1
